objectid,filename,youtubeid,vimeoid,title,creator,date,description,medium,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,the_four_witches_1497.jpg,,,The Four Witches (Four Naked Women),Albrecht Dürer ,1497,"Four naked witches stand together under an orb, skulls and bones at their feet and a devilish figure peeking from the corner.",engraving,witch(es),Germany,,,https://www.clevelandart.org/art/1964.22?utm_source=art_detail_share,1964.22,image;stillimage,image/jpg,,"You can copy, modify, and distribute this work, all without asking permission. Learn more about CMA's Open Access Initiative.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll002,the_witch_1500.jpg,,,The Witch,Albrecht Dürer ,1500,"A naked witch rides backwards on a great horned goat, symbolizing going against the natural order and the presence of satan. Cherubs inhabit the ground below, struggling to stay uprising, carry their items, and escape. ",engraving,witch(es),Germany,,,https://www.metmuseum.org/art/collection/search/391137,33.79.3,image;stillimage,image/jpg,,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll003,induction_scroll_15thc.jpg,,,Treatise on evil spirits and witchcraft.,Unknown,15th Century,"A witches sabbath depicts couples dancing, witches flying, devil worship through the physical form of a black goat, and the induction of a new member into the coven.  ",ink manuscript,sabbath,Belgium,,,https://digital.bodleian.ox.ac.uk/objects/017895a7-f11a-43ac-b9cf-ea18bf4332ae/,13179,image;stillimage,image/jpg,,Terms of use: CC BY-NC 4.0.,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll004,the_witches_1510.jpg,,,The Witches,Hans Baldung Grien,1510,"Three witches sit around a cauldron, billowing clouds spill out from the bowl where the witches are crafting ""flying unguent"" to enable them to take to the skies on a goat, like the witch above their heads. ",woodcut,witch(es),Germany,,,https://www.metmuseum.org/art/collection/search/336235,41.1.201,image;stillimage,image/jpg,,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll005,nude_witch_dragon_1515.jpg,,,Nude young Witch and fish-like Dragon,Hans Baldung Grien,1515,A nude witch seduces and is pleasured by a fish-like dragon,drawing,witch(es),Germany,,,https://www.kunsthalle-karlsruhe.de/kunstwerke/Hans-Baldung/Nackte-junge-Hexe-und-fischgestaltiger-Drache/39F39505474227735CA3BAB20433486E/,VIII 1063-1,image;stillimage,image/jpg,,Public Domain,https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll006,lo_stregnazzo_1515-25.jpg,,,"Lo Stregozzo: a female witch riding on an animal skeleton, preceded by two men and a boy on a goat blowing on a horn, another naked man behind carrying two bones",Agostino Veneziano,1515-25,"A witch rides a skeletal beast whose ribs are filled with infants. Surrounding the witch are naked men who blow horns and carry bones, having succumb to the witches will. ",engraving,witch(es),Italy ,,,https://www.metmuseum.org/art/collection/search/336574,49.97.146,image;stillimage,image/jpg,,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll007,wickiana_stake_1560-61.jpg,,,Wickiana: Staked Witches,Johann Jakob Wick ,1560-61,"Part of the Wickiana, a collection of news reports from Zurich in the 16th century, Wick depicted local happenings, including the public punishment of convicted witches by staking and burning. ",ink manuscript,punishment,Germany ,,,https://www.e-manuscripta.ch/zuz/content/zoom/2534,DOI: 10.7891/e-manuscripta-27,image;stillimage,image/jpg,,"Available for free download. In the event of reproduction or exploitation of the document or parts thereof, the holding institution asks you, in accordance with usual scientific practices, to provide: information, indication of sources including details of the author, location and persistent identifier, and dispatch of a voucher copy and/or notification of the internet address of your digital offering into which you have integrated the document or parts thereof. ",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll008,osculum_infame_1608.jpg,,,Osculum Infame,Francesco Maria Guazzo,1608,"Witches perform the osculum infame, or ""shameful kiss"" where they kiss the anus of the devil, showing devotion to him.",woodcut,devil worship,Italy ,,,https://archive.org/details/compendium-maleficarum/page/34/mode/2up,compendium-maleficarum,image;stillimage,image/jpg,,Public Domain Mark 1.0,https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll009,preparing_sabbath_1610.jpg,,,Witches Preparing for Sabbath,Andries Stock,1610,"Many witches prepare for the sabbath, with some preparing brews to enable flight, some conversing with the devil. Uniquely, this engraving feature cupid battling with a ghoul, representing the struggle between cupid's pure love and the witches perverse love.",engraving,sabbath,Netherlands,,,https://www.metmuseum.org/art/collection/search/336411,2001.648,image;stillimage,image/jpg,,"As part of the Met's Open Access policy, you can freely copy, modify and distribute this image, even for commercial purposes.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll010,witches_apprehended_1613.jpg,,,"Witches Apprehended, Examined, and Executed for notable villains by them committed both by Land and Water",Unknown,1613,A pamphlet distributed through London detailing the trial and drowning execution of Mary D. Sutton.,print,punishment,England,,,https://wellcomecollection.org/works/pfymtymt/images?id=ttdyag9h,pfymtymt,image;stillimage,image/jpg,,Public Domain Mark,https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll011,night_piece_1626.jpg,,,The Witch (Night Piece),Jan van de Velde II,1626,"A bare-chested witch boils a concoction in the presence of beasts and ghouls, depicting the supposed happenings of witches during the night. ",engraving,witch(es),Netherlands ,,,https://www.clevelandart.org/art/1943.635?utm_source=art_detail_share,1943.635,image;stillimage,image/jpg,,"You can copy, modify, and distribute this work, all without asking permission. Learn more about CMA's Open Access Initiative.",https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll012,witches_incantations_1646.jpg,,,Witches at their Incantations,Salvator Rosa,1646,"Witches get up to nefarious activities, such as feeding monsters to babies, creating concoctions, casting spells, all in the name of the devil in a depiction of the witches sabbath. ",oil painting,sabbath,Italy,,,https://www.nationalgallery.org.uk/paintings/salvator-rosa-witches-at-their-incantations,NG6491,image;stillimage,image/jpg,,This image is licensed for non-commercial use under a Creative Commons agreement.,https://creativecommons.org/licenses/by-nc-nd/4.0/
coll013,dirkje_gerrits_1650-99.jpg,,,"Gewaande Tovery van een Vrouw, in de Moorine Steeg tot Haarlem",Unknown,1650-99,"The supposed sorcery of Dirkje Gerrits in Haarlem in 1617, making one woman jump from a window and another contort on the ground. ",print,bewitchment,Netherlands ,,,https://www.rijksmuseum.nl/en/collection/object/Twee-voorstellingen-van-gewaande-toverij-bij-een-vrouw-genaamd-Dirkje-Gerrits-te-Haarlem-1617--d4d4261599a9cff8fd50341fb7361b8a?tab=data,FMH 1318-[b],image;stillimage,image/jpg,,Public domain ,https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll014,witch_warrior_1681-83.jpg,,,Krijgsman bij een heks,Arnold Houbraken,1681-83,"A half naked witch consults with a warrior, who is seized from behind by a devil.",print,bewitchment,Netherlands,,,https://www.rijksmuseum.nl/en/collection/object/Krijgsman-bij-een-heks--c6ee4cfad3c75ba33874cf40b82c5b6e?tab=data,RP-P-1878-A-2601,image;stillimage,image/jpg,,Public domain ,https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll015,preparing_sabbath_pre1690.jpg,,,Preparation for the witches' sabbath,David Teniers the Younger,pre 1690,"A young witch prepares to ascend the chimney, an older witch teaches a younger witch, other witches complete tasks in surrounding them, all preparing for the sabbath.",print,sabbath,Belgium,,,https://wellcomecollection.org/works/bd85dgdj/images?id=kz4m8vb6,40366i,image;stillimage,image/jpg,,Public Domain Mark,https://rightsstatements.org/page/NoC-US/1.0/?language=en
coll016,bewitched_vomiting_1720.jpg,,,Witchcraft: a bewitched woman vomiting,Unknown,1720,Bewitched woman vomits.,woodcut,bewitchment,Unknown,,,https://wellcomecollection.org/works/ax6dnfv3/images?id=ucjwwmxs,44121i,image;stillimage,image/jpg,,Public Domain Mark,https://rightsstatements.org/page/NoC-US/1.0/?language=en

coll017,witches_sabbath_18thc.jpg,,,A witches' sabbath,Unknown,18th Century,"Satan's sits his throne in the center of a witches' sabbath, the witches dance around him, cooking and eating infants in front of him. ",engraving,sabbath,Unknown,,,https://wellcomecollection.org/works/xy6nsffh/images?id=t2n9bmdg,33376i,image;stillimage,image/jpg,,Public Domain Mark,https://rightsstatements.org/page/NoC-US/1.0/?language=en
